Family,Model,Cost_Bps_Per_Side,Probability_Margin,Num_Candidate_Events,Num_Trades,Trade_Coverage,Active_Sessions,Mean_Trade_Return_Net,Median_Trade_Return_Net,Win_Rate,Avg_Win,Avg_Loss,Profit_Factor,Mean_Daily_Return_Net,Annualized_Return_Arithmetic,Annualized_Volatility,Sharpe,Sortino,HAC_t,HAC_p_value,HAC_p_value_Positive,Max_Drawdown,Cumulative_Return,CAGR,HAC_p_value_Holm,HAC_p_value_Positive_Holm,HAC_p_value_Positive_Global_Holm
LSTM,LSTM C - MARKET SEQUENCE + SEC + FINBERT,0.0,0.1,494,109,0.22064777327935223,88,0.002805851472184849,0.0014334825595012646,0.5504587155963303,0.0130662193297368,0.009757864271756317,1.6396469345042755,0.00035783158332283824,0.09017355899735524,0.07679113523012526,1.1742704249276426,2.1915902774209526,2.0860204434511824,0.03725600409159487,0.018628002045797436,-0.06679676024731207,0.36887369533606273,0.09083979563368194,0.6706080736487077,0.33530403682435383,1.0
Logistic,MODEL A - MARKET,0.0,0.1,494,220,0.44534412955465585,187,0.0008195127796700941,0.00035937539507177596,0.5227272727272727,0.00972370386729404,0.008932696506775183,1.192223523344479,0.0003005001058150473,0.07572602666539192,0.09423146638881233,0.803617194631522,1.2747653717854452,1.54547841443224,0.12257979330217873,0.061289896651089366,-0.112044934561917,0.29252836579812236,0.07364166224772628,1.0,0.7967686564641617,1.0
Logistic,MODEL B - MARKET + SEC,0.0,0.1,494,284,0.5748987854251012,233,0.0011354993006882869,0.000819542467842771,0.5563380281690141,0.009229672394977724,0.009014336801674655,1.2839232028338547,0.0004128742836201023,0.10404431947226578,0.09985466517473866,1.0419575218663597,1.6554788761082924,2.0053815321854427,0.04521927037125338,0.02260963518562669,-0.08875036465099173,0.428350480489224,0.10376335319729635,0.7347465224891376,0.3673732612445688,1.0
Logistic,MODEL C - MARKET + SEC + FINBERT,0.0,0.1,494,289,0.5850202429149798,235,0.001154747927407862,0.0010276309866117939,0.5674740484429066,0.009034749934645904,0.009183814706088448,1.2907046030008684,0.00041394076261678565,0.10431307217942998,0.09976984581544517,1.0455370691099284,1.6419586403730078,2.0244154139475383,0.04322038367583163,0.021610191837915814,-0.0872634895812332,0.4297629170602293,0.10406548772717494,0.7347465224891376,0.3673732612445688,1.0
TabNet,TABNET A - MARKET,0.0,0.1,494,92,0.1862348178137652,83,0.0007621238132734804,0.0009378948073487103,0.5217391304347826,0.009879447915952438,0.009184047935103565,1.1735108114452424,6.0554702842875835e-05,0.01525978511640471,0.06452965397966569,0.23647709503003553,0.35482963383960103,0.4228112872757839,0.6725332835345914,0.3362666417672957,-0.1443243946896371,0.048594232769041845,0.013226412385090702,1.0,1.0,1.0
TabNet,TABNET B - MARKET + SEC,0.0,0.1,494,142,0.2874493927125506,128,0.0008312147872185508,0.00015407938894387851,0.5070422535211268,0.009170828894308277,0.0077466740086451664,1.2176648412565036,0.00013306810577398042,0.03353316265504307,0.0672647620157452,0.49852495794445373,0.7745763167602299,1.0225260120335655,0.3068049534803338,0.1534024767401669,-0.10218999562531794,0.11914566912325397,0.03166193111838278,1.0,1.0,1.0
TabNet,TABNET C - MARKET + SEC + FINBERT,0.0,0.1,494,153,0.3097165991902834,136,0.0006639281658489739,0.00036239141253530116,0.5163398692810458,0.009095081706649423,0.008336897911492046,1.1646555298478263,0.00017087955736383773,0.04306164845568711,0.07185678146829114,0.5992704874304633,0.9212691800990425,1.0652417801405292,0.2870503329898433,0.14352516649492164,-0.10508526501266935,0.15685887037744561,0.041173831648788184,1.0,1.0,1.0
Transformer,TRANSFORMER A - MARKET SEQUENCE,0.0,0.1,494,12,0.024291497975708502,11,-0.002430318764061181,-0.0015001074259024805,0.4166666666666667,0.004925598193476255,0.0076845451623022065,0.4578389936688941,-3.792769494442831e-05,-0.009557779125995933,0.014866765838469242,-0.6428956526149235,-0.7305327743766853,-1.1860061593426119,0.2359308053268998,0.8820345973365501,-0.03420178770818172,-0.03420178770818172,-0.009590433021075206,1.0,1.0,1.0
Transformer,TRANSFORMER B - MARKET SEQUENCE + SEC,0.0,0.1,494,118,0.2388663967611336,94,0.0008633085795440695,0.00037160607786956845,0.5169491525423728,0.009159402317441293,0.008014967175047696,1.2229828492455581,8.949476420195021e-05,0.022552680578891454,0.058954704683777254,0.38254250784326876,0.5884013909864907,0.6727944907295509,0.5012496029617841,0.25062480148089206,-0.0930564192599509,0.07781007998442946,0.020966313296141292,1.0,1.0,1.0
Transformer,TRANSFORMER C - MARKET SEQUENCE + SEC + FINBERT,0.0,0.1,494,60,0.1214574898785425,48,0.0014447447736309368,-0.00017768111372024054,0.5,0.011499626805128567,0.008610137257866694,1.335591577779074,7.750553454810758e-05,0.019531394706123112,0.047813838879082166,0.40848831978366423,0.6658092028019135,0.8596809598579366,0.39019234430860134,0.19509617215430067,-0.09310503354470878,0.0684422281682413,0.018501273017789144,1.0,1.0,1.0
