Variant,Test_Year,Feature,Mean_Abs_SHAP,Mean_SHAP,Std_SHAP,Positive_Share,Negative_Share,Rank
C,2024,binary__Has_Event_Earnings,0.0,0.0,0.0,0.0,0.0,35
C,2024,binary__Has_Item_2_03,0.0,0.0,0.0,0.0,0.0,36
C,2024,binary__Has_Item_2_02,0.0,0.0,0.0,0.0,0.0,37
C,2024,binary__Has_Item_2_01,0.0,0.0,0.0,0.0,0.0,38
C,2024,binary__Has_Item_1_02,0.0,0.0,0.0,0.0,0.0,39
C,2024,binary__Has_Item_1_01,0.0,0.0,0.0,0.0,0.0,40
C,2024,binary__Has_Item_5_03,0.0,0.0,0.0,0.0,0.0,41
C,2024,binary__Has_Item_5_07,0.0,0.0,0.0,0.0,0.0,42
C,2024,binary__Has_Sentiment_History,0.0,0.0,0.0,0.0,0.0,43
A,2025,market__RSI_14,0.23845578932824235,0.022725315078472096,0.30193807341792683,0.4066666666666667,0.5933333333333334,1
A,2025,market__Stock_vs_QQQ_5D,0.23524225145888825,-0.0034292120890070995,0.2895832283538052,0.4533333333333333,0.5466666666666666,2
A,2025,market__QQQ_Log_Return_1D,0.22441523564358554,-0.09641461667915185,0.255045096134095,0.24666666666666667,0.7533333333333333,3
A,2025,market__Stock_vs_QQQ_1D,0.2201582234632224,-0.028332556694125134,0.2569834662426757,0.56,0.44,4
A,2025,market__QQQ_Log_Return_3D,0.203443972915411,-0.022635929187138876,0.23203671372829945,0.2866666666666667,0.7133333333333334,5
A,2025,market__Daily_Range,0.19827558868254225,0.013019035638620457,0.2382729810685505,0.7133333333333334,0.2866666666666667,6
A,2025,market__Relative_Volume_20D,0.1953556891841193,0.0017204455845057963,0.23334236200831543,0.5533333333333333,0.44666666666666666,7
A,2025,market__Price_to_SMA20,0.1920601884027322,-0.009209181666374206,0.21081822553831628,0.5,0.5,8
A,2025,market__Intraday_Return,0.1650491075590253,0.0030350338295102117,0.1929833818193592,0.6866666666666666,0.31333333333333335,9
A,2025,market__Volatility_14D,0.16199517026388396,0.021336459146502118,0.18890449629185388,0.42,0.58,10
A,2025,market__Stock_vs_QQQ_3D,0.14075975723254183,-0.0032935224194079638,0.15743960511612506,0.4266666666666667,0.5733333333333334,11
A,2025,market__QQQ_Volatility_14D,0.13832737766206266,-0.011923971275488535,0.1723372102976536,0.49333333333333335,0.5066666666666667,12
A,2025,market__QQQ_Log_Return_5D,0.12149252693168819,-0.012507050313676398,0.1414872893109774,0.52,0.48,13
A,2025,ticker__Ticker_INTC,0.07570762450496356,-0.012565118124087652,0.12031953895589526,0.8533333333333334,0.14666666666666667,14
A,2025,ticker__Ticker_MSFT,0.017306543762485187,-0.005480685507257779,0.02781138256509268,0.05333333333333334,0.9466666666666667,15
A,2025,ticker__Ticker_AMD,0.0,0.0,0.0,0.0,0.0,16
A,2025,ticker__Ticker_ADBE,0.0,0.0,0.0,0.0,0.0,17
A,2025,ticker__Ticker_AAPL,0.0,0.0,0.0,0.0,0.0,18
A,2025,ticker__Ticker_AVGO,0.0,0.0,0.0,0.0,0.0,19
A,2025,ticker__Ticker_AMZN,0.0,0.0,0.0,0.0,0.0,20
A,2025,ticker__Ticker_GOOGL,0.0,0.0,0.0,0.0,0.0,21
A,2025,ticker__Ticker_META,0.0,0.0,0.0,0.0,0.0,22
A,2025,ticker__Ticker_NFLX,0.0,0.0,0.0,0.0,0.0,23
A,2025,ticker__Ticker_NVDA,0.0,0.0,0.0,0.0,0.0,24
A,2025,ticker__Ticker_QCOM,0.0,0.0,0.0,0.0,0.0,25
A,2025,ticker__Ticker_TSLA,0.0,0.0,0.0,0.0,0.0,26
B,2025,market__RSI_14,0.2555274956300855,0.03680547678222259,0.3151142127619358,0.4,0.6,1
B,2025,market__Stock_vs_QQQ_1D,0.2445520277818044,-0.030041005002955597,0.29825472671126996,0.58,0.42,2
B,2025,market__Stock_vs_QQQ_5D,0.20975793393484007,-0.007538137148755292,0.25137609570698427,0.48,0.52,3
B,2025,market__QQQ_Log_Return_3D,0.18875321031858525,-0.025849736320475738,0.21763136136935454,0.29333333333333333,0.7066666666666667,4
B,2025,market__QQQ_Log_Return_1D,0.1796654590840141,-0.0669523874297738,0.2273285056384964,0.3933333333333333,0.6066666666666667,5
B,2025,market__Volatility_14D,0.17795903174827496,0.03158716992785533,0.20255187811179093,0.49333333333333335,0.5066666666666667,6
B,2025,market__Price_to_SMA20,0.1737694094205896,-0.0074436964436123765,0.19332693174216284,0.5266666666666666,0.47333333333333333,7
B,2025,market__Relative_Volume_20D,0.17313431883541247,0.0022434038079033295,0.21666331906904995,0.5666666666666667,0.43333333333333335,8
B,2025,market__QQQ_Volatility_14D,0.17210183886811137,-0.012997449071456989,0.21369499682840454,0.6,0.4,9
B,2025,market__Daily_Range,0.1662031747897466,0.012350710108876228,0.19836960049610852,0.6666666666666666,0.3333333333333333,10
B,2025,market__Intraday_Return,0.12660600122840454,0.002286859516364833,0.1444938705874011,0.6333333333333333,0.36666666666666664,11
B,2025,market__QQQ_Log_Return_5D,0.12493660708578924,-0.016543431440368295,0.1459756645555858,0.49333333333333335,0.5066666666666667,12
B,2025,market__Stock_vs_QQQ_3D,0.1074450396342824,-0.02229572362266481,0.1302817847732428,0.4533333333333333,0.5466666666666666,13
